,RAW_DATA,Time
730,1145238.00,1666716002.0917556
731,1145252.00,1666716002.1041944
732,1145270.00,1666716002.1162965
733,1145334.00,1666716002.12912
734,1145313.00,1666716002.1417677
735,1145342.00,1666716002.1542463
736,1145339.00,1666716002.16664
737,1145336.00,1666716002.1784008
738,1145325.00,1666716002.1915612
739,1145351.00,1666716002.204223
740,1145345.00,1666716002.2166908
741,1145334.00,1666716002.229252
742,1145575.00,1666716002.241292
743,1145585.00,1666716002.2539823
744,1145596.00,1666716002.2665915
745,1145601.00,1666716002.2784648
746,1145615.00,1666716002.291784
747,1145620.00,1666716002.3034532
748,1145618.00,1666716002.3164334
749,1145645.00,1666716002.329211
750,1145693.00,1666716002.3417637
751,1145683.00,1666716002.3535302
752,1145692.00,1666716002.3667428
753,1145692.00,1666716002.379118
754,1145701.00,1666716002.3916764
755,1145704.00,1666716002.4042487
756,1145711.00,1666716002.41605
757,1144329.00,1666716002.4289494
758,1144224.00,1666716002.4407413
759,1144132.00,1666716002.453749
760,1144037.00,1666716002.4667563
761,1143915.00,1666716002.4783611
762,1143807.00,1666716002.4909031
763,1143702.00,1666716002.5039964
764,1143594.00,1666716002.515929
765,1142561.00,1666716002.5290432
766,1142546.00,1666716002.5411463
767,1142567.00,1666716002.55415
768,1142565.00,1666716002.5662236
769,1142556.00,1666716002.5790114
770,1142552.00,1666716002.5911033
771,1142543.00,1666716002.6042755
772,1142542.00,1666716002.616758
773,1142440.00,1666716002.6285002
774,1142447.00,1666716002.6417193
775,1142499.00,1666716002.6542273
776,1142515.00,1666716002.666686
777,1142541.00,1666716002.6792102
778,1142561.00,1666716002.6914449
779,1142580.00,1666716002.7034802
780,1142626.00,1666716002.7160318
781,1142940.00,1666716002.7291822
782,1142932.00,1666716002.7411551
783,1142918.00,1666716002.7541697
784,1142902.00,1666716002.7663887
785,1142883.00,1666716002.7785769
786,1142892.00,1666716002.7917528
787,1142879.00,1666716002.8034947
788,1142874.00,1666716002.8165312
789,1143122.00,1666716002.8282328
790,1143134.00,1666716002.8417757
791,1143161.00,1666716002.8541965
792,1143194.00,1666716002.8665514
793,1143217.00,1666716002.8783967
794,1143246.00,1666716002.8917594
795,1143263.00,1666716002.903692
796,1143295.00,1666716002.9167078
